"","X","Dataset","Fold","Repeat","Method","MethodType","AUC","Popt","ACC"
"49",49,"bugzilla","Fold-11","Rep-1","NF.UP","R-unsup",0.383311393886207,0.317663862407899,0
"50",50,"bugzilla","Fold-11","Rep-1","Entropy.UP","R-unsup",0.407795816878748,0.319789473515254,0
"51",51,"bugzilla","Fold-11","Rep-1","LT.UP","R-unsup",0.528960070206231,0.568525506528906,0.263565891472868
"52",52,"bugzilla","Fold-11","Rep-1","FIX.UP","R-unsup",0.446306859733801,0.0724573227856338,0.0775193798449612
"53",53,"bugzilla","Fold-11","Rep-1","NDEV.UP","R-unsup",0.546102091560626,0.593861355799802,0.302325581395349
"54",54,"bugzilla","Fold-11","Rep-1","AGE.UP","R-unsup",0.600541173029106,0.613862449490014,0.271317829457364
"55",55,"bugzilla","Fold-11","Rep-1","NUC.UP","R-unsup",0.411101360245722,0.301501305837126,0.0155038759689922
"56",56,"bugzilla","Fold-11","Rep-1","EXP.UP","R-unsup",0.513412315342987,0.528299077870146,0.193798449612403
"57",57,"bugzilla","Fold-11","Rep-1","REXP.UP","R-unsup",0.50706450197455,0.549770008081116,0.209302325581395
"58",58,"bugzilla","Fold-11","Rep-1","SEXP.UP","R-unsup",0.55192335819804,0.531685356611428,0.201550387596899
"59",59,"bugzilla","Fold-21","Rep-1","EALR","EALR",0.568150188872163,0.66708386049245,0.291970802919708
"61",61,"bugzilla","Fold-21","Rep-1","NaiveBayes","R-non-EA",0.690732483171916,0.482377927567547,0.175182481751825
"62",62,"bugzilla","Fold-21","Rep-1","NaiveBayes","R-ad",0.690732483171916,0.604068832816719,0.240875912408759
"63",63,"bugzilla","Fold-21","Rep-1","NaiveBayes","R-ee",0.690732483171916,0.730057511146416,0.408759124087591
"64",64,"bugzilla","Fold-21","Rep-1","NaiveBayes","R-dd",0.690732483171916,0.463633573199243,0.240875912408759
"65",65,"bugzilla","Fold-21","Rep-1","SimpleLogistic","R-non-EA",0.707333352267886,0.583695360854357,0.218978102189781
"66",66,"bugzilla","Fold-21","Rep-1","SimpleLogistic","R-ad",0.707333352267886,0.767249703329917,0.467153284671533
"67",67,"bugzilla","Fold-21","Rep-1","SimpleLogistic","R-ee",0.707333352267886,0.783261618943844,0.489051094890511
"68",68,"bugzilla","Fold-21","Rep-1","SimpleLogistic","R-dd",0.707333352267886,0.690225975381269,0.45985401459854
"69",69,"bugzilla","Fold-21","Rep-1","LMT","R-non-EA",0.729046550597859,0.637837289157867,0.248175182481752
"70",70,"bugzilla","Fold-21","Rep-1","LMT","R-ad",0.729046550597859,0.785426882450483,0.489051094890511
"71",71,"bugzilla","Fold-21","Rep-1","LMT","R-ee",0.729046550597859,0.814521747157188,0.518248175182482
"72",72,"bugzilla","Fold-21","Rep-1","LMT","R-dd",0.729046550597859,0.738282410512078,0.496350364963504
"73",73,"bugzilla","Fold-21","Rep-1","RBFNetwork","R-non-EA",0.603056036808771,0.408724493374869,0.145985401459854
"74",74,"bugzilla","Fold-21","Rep-1","RBFNetwork","R-ad",0.603056036808771,0.709361661548169,0.299270072992701
"75",75,"bugzilla","Fold-21","Rep-1","RBFNetwork","R-ee",0.603056036808771,0.767868595994647,0.489051094890511
"76",76,"bugzilla","Fold-21","Rep-1","RBFNetwork","R-dd",0.603056036808771,0.467041794268722,0.248175182481752
"77",77,"bugzilla","Fold-21","Rep-1","JRip","R-non-EA",0.677341020761737,0.546287677398075,0.204379562043796
"78",78,"bugzilla","Fold-21","Rep-1","JRip","R-ad",0.677341020761737,0.736656738027928,0.445255474452555
"79",79,"bugzilla","Fold-21","Rep-1","JRip","R-ee",0.677341020761737,0.778522519500479,0.489051094890511
"80",80,"bugzilla","Fold-21","Rep-1","JRip","R-dd",0.677341020761737,0.693618680969127,0.452554744525547
"81",81,"bugzilla","Fold-21","Rep-1","Logistic","R-non-EA",0.71385157204124,0.569193612038219,0.18978102189781
"82",82,"bugzilla","Fold-21","Rep-1","Logistic","R-ad",0.71385157204124,0.763326024922713,0.445255474452555
"83",83,"bugzilla","Fold-21","Rep-1","Logistic","R-ee",0.71385157204124,0.793613853364823,0.510948905109489
"84",84,"bugzilla","Fold-21","Rep-1","Logistic","R-dd",0.71385157204124,0.701869438131895,0.474452554744526
"85",85,"bugzilla","Fold-21","Rep-1","RandomForest","R-non-EA",0.750560936124286,0.629079693931339,0.255474452554745
"86",86,"bugzilla","Fold-21","Rep-1","RandomForest","R-ad",0.750560936124286,0.763174317987304,0.416058394160584
"87",87,"bugzilla","Fold-21","Rep-1","RandomForest","R-ee",0.750560936124286,0.816397388972747,0.518248175182482
"88",88,"bugzilla","Fold-21","Rep-1","RandomForest","R-dd",0.750560936124286,0.667694133036638,0.423357664233577
"89",89,"bugzilla","Fold-21","Rep-1","SMO","R-non-EA",0.645374762134681,0.567076619402105,0.226277372262774
"90",90,"bugzilla","Fold-21","Rep-1","SMO","R-ad",0.645374762134681,0.713012958485488,0.489051094890511
"91",91,"bugzilla","Fold-21","Rep-1","SMO","R-ee",0.645374762134681,0.713012958485488,0.489051094890511
"92",92,"bugzilla","Fold-21","Rep-1","SMO","R-dd",0.645374762134681,0.713012958485488,0.489051094890511
"93",93,"bugzilla","Fold-21","Rep-1","J48","R-non-EA",0.691030702377233,0.568360951758892,0.175182481751825
"94",94,"bugzilla","Fold-21","Rep-1","J48","R-ad",0.691030702377233,0.738897855279703,0.394160583941606
"95",95,"bugzilla","Fold-21","Rep-1","J48","R-ee",0.691030702377233,0.791207239694451,0.503649635036496
"96",96,"bugzilla","Fold-21","Rep-1","J48","R-dd",0.691030702377233,0.749067353144385,0.510948905109489
