"","X","Dataset","Fold","Repeat","Method","MethodType","AUC","Popt","ACC"
"49",49,"bugzilla","Fold-11","Rep-1","NF.UP","R-unsup",0.643072076256639,0.660692324732978,0.254437869822485
"50",50,"bugzilla","Fold-11","Rep-1","Entropy.UP","R-unsup",0.390047862350304,0.561638307974586,0.207100591715976
"51",51,"bugzilla","Fold-11","Rep-1","LT.UP","R-unsup",0.573186986287538,0.74134326229956,0.461538461538462
"52",52,"bugzilla","Fold-11","Rep-1","FIX.UP","R-unsup",0.433224953046428,0.0383866368420706,0.0473372781065089
"53",53,"bugzilla","Fold-11","Rep-1","NDEV.UP","R-unsup",0.492659086778278,0.574604653376792,0.319526627218935
"54",54,"bugzilla","Fold-11","Rep-1","AGE.UP","R-unsup",0.567936264313266,0.718195722826964,0.443786982248521
"55",55,"bugzilla","Fold-11","Rep-1","NUC.UP","R-unsup",0.374527939899428,0.653905249754412,0.112426035502959
"56",56,"bugzilla","Fold-11","Rep-1","EXP.UP","R-unsup",0.51396490094311,0.535948088140152,0.183431952662722
"57",57,"bugzilla","Fold-11","Rep-1","REXP.UP","R-unsup",0.506573500010097,0.551362639022388,0.159763313609467
"58",58,"bugzilla","Fold-11","Rep-1","SEXP.UP","R-unsup",0.492982208130541,0.570847526995744,0.230769230769231
"59",59,"bugzilla","Fold-21","Rep-1","EALR","EALR",0.541196615632554,0.624854079722144,0.276470588235294
"61",61,"bugzilla","Fold-21","Rep-1","NaiveBayes","R-non-EA",0.697139403706688,0.34955670032458,0.0647058823529412
"62",62,"bugzilla","Fold-21","Rep-1","NaiveBayes","R-ad",0.697139403706688,0.462085107598416,0.247058823529412
"63",63,"bugzilla","Fold-21","Rep-1","NaiveBayes","R-ee",0.697139403706688,0.888061067982277,0.688235294117647
"64",64,"bugzilla","Fold-21","Rep-1","NaiveBayes","R-dd",0.697139403706688,0.454080478702037,0.317647058823529
"65",65,"bugzilla","Fold-21","Rep-1","SimpleLogistic","R-non-EA",0.71762691377921,0.485754534465851,0.117647058823529
"66",66,"bugzilla","Fold-21","Rep-1","SimpleLogistic","R-ad",0.71762691377921,0.68559672295505,0.347058823529412
"67",67,"bugzilla","Fold-21","Rep-1","SimpleLogistic","R-ee",0.71762691377921,0.929021855039877,0.770588235294118
"68",68,"bugzilla","Fold-21","Rep-1","SimpleLogistic","R-dd",0.71762691377921,0.699918915505152,0.588235294117647
"69",69,"bugzilla","Fold-21","Rep-1","LMT","R-non-EA",0.71762691377921,0.485754534465851,0.117647058823529
"70",70,"bugzilla","Fold-21","Rep-1","LMT","R-ad",0.71762691377921,0.68559672295505,0.347058823529412
"71",71,"bugzilla","Fold-21","Rep-1","LMT","R-ee",0.71762691377921,0.929021855039877,0.770588235294118
"72",72,"bugzilla","Fold-21","Rep-1","LMT","R-dd",0.71762691377921,0.699918915505152,0.588235294117647
"73",73,"bugzilla","Fold-21","Rep-1","RBFNetwork","R-non-EA",0.571676067687349,0.34654349009443,0.0823529411764706
"74",74,"bugzilla","Fold-21","Rep-1","RBFNetwork","R-ad",0.571676067687349,0.622677216449896,0.317647058823529
"75",75,"bugzilla","Fold-21","Rep-1","RBFNetwork","R-ee",0.571676067687349,0.919891821756839,0.752941176470588
"76",76,"bugzilla","Fold-21","Rep-1","RBFNetwork","R-dd",0.571676067687349,0.448710293615094,0.317647058823529
"77",77,"bugzilla","Fold-21","Rep-1","JRip","R-non-EA",0.673700644641418,0.433052681909482,0.135294117647059
"78",78,"bugzilla","Fold-21","Rep-1","JRip","R-ad",0.673700644641418,0.732449715145902,0.564705882352941
"79",79,"bugzilla","Fold-21","Rep-1","JRip","R-ee",0.673700644641418,0.92452881332079,0.758823529411765
"80",80,"bugzilla","Fold-21","Rep-1","JRip","R-dd",0.673700644641418,0.680001919463379,0.564705882352941
"81",81,"bugzilla","Fold-21","Rep-1","Logistic","R-non-EA",0.723932312651088,0.44115605922299,0.141176470588235
"82",82,"bugzilla","Fold-21","Rep-1","Logistic","R-ad",0.723932312651088,0.616584037549448,0.276470588235294
"83",83,"bugzilla","Fold-21","Rep-1","Logistic","R-ee",0.723932312651088,0.92778402589926,0.764705882352941
"84",84,"bugzilla","Fold-21","Rep-1","Logistic","R-dd",0.723932312651088,0.671458811987133,0.564705882352941
"85",85,"bugzilla","Fold-21","Rep-1","RandomForest","R-non-EA",0.769097502014504,0.569865258362379,0.2
"86",86,"bugzilla","Fold-21","Rep-1","RandomForest","R-ad",0.769097502014504,0.650985488971301,0.317647058823529
"87",87,"bugzilla","Fold-21","Rep-1","RandomForest","R-ee",0.769097502014504,0.938488930266128,0.776470588235294
"88",88,"bugzilla","Fold-21","Rep-1","RandomForest","R-dd",0.769097502014504,0.675053848131792,0.535294117647059
"89",89,"bugzilla","Fold-21","Rep-1","SMO","R-non-EA",0.66629734085415,0.509225768547385,0.217647058823529
"90",90,"bugzilla","Fold-21","Rep-1","SMO","R-ad",0.66629734085415,0.70739225107369,0.594117647058824
"91",91,"bugzilla","Fold-21","Rep-1","SMO","R-ee",0.66629734085415,0.70739225107369,0.594117647058824
"92",92,"bugzilla","Fold-21","Rep-1","SMO","R-dd",0.66629734085415,0.706229757943501,0.594117647058824
"93",93,"bugzilla","Fold-21","Rep-1","J48","R-non-EA",0.750402900886382,0.55808478735175,0.141176470588235
"94",94,"bugzilla","Fold-21","Rep-1","J48","R-ad",0.750402900886382,0.650612286115327,0.229411764705882
"95",95,"bugzilla","Fold-21","Rep-1","J48","R-ee",0.750402900886382,0.936043174599203,0.776470588235294
"96",96,"bugzilla","Fold-21","Rep-1","J48","R-dd",0.750402900886382,0.770188205909876,0.647058823529412
"97",97,"bugzilla","Fold-21","Rep-1","Ridor","R-non-EA",0.647401289282836,0.463863038253792,0.188235294117647
"98",98,"bugzilla","Fold-21","Rep-1","Ridor","R-ad",0.647401289282836,0.529878507817449,0.358823529411765
"99",99,"bugzilla","Fold-21","Rep-1","Ridor","R-ee",0.647401289282836,0.529878507817449,0.358823529411765
"100",100,"bugzilla","Fold-21","Rep-1","Ridor","R-dd",0.647401289282836,0.519330302467524,0.358823529411765
"101",101,"bugzilla","Fold-21","Rep-1","IBk","R-non-EA",0.730973005640612,0.474721628383782,0.123529411764706
"102",102,"bugzilla","Fold-21","Rep-1","IBk","R-ad",0.730973005640612,0.609265546252705,0.241176470588235
"103",103,"bugzilla","Fold-21","Rep-1","IBk","R-ee",0.730973005640612,0.924180413100347,0.770588235294118
"104",104,"bugzilla","Fold-21","Rep-1","IBk","R-dd",0.730973005640612,0.568605175337479,0.458823529411765
"105",105,"bugzilla","Fold-21","Rep-1","NS.UP","R-unsup",0.428313859790492,0.344728932848389,0
"106",106,"bugzilla","Fold-21","Rep-1","ND.UP","R-unsup",0.423509266720387,0.347163562012585,0
"107",107,"bugzilla","Fold-21","Rep-1","NF.UP","R-unsup",0.388658340048348,0.588750264358815,0.00588235294117647
"108",108,"bugzilla","Fold-21","Rep-1","Entropy.UP","R-unsup",0.403424657534247,0.496784656813138,0.00588235294117647
"109",109,"bugzilla","Fold-21","Rep-1","LT.UP","R-unsup",0.57947219983884,0.709961557024438,0.429411764705882
"110",110,"bugzilla","Fold-21","Rep-1","FIX.UP","R-unsup",0.426893634165995,0.0272723437229924,0
"111",111,"bugzilla","Fold-21","Rep-1","NDEV.UP","R-unsup",0.552135374697824,0.5195164389664,0.1
"112",112,"bugzilla","Fold-21","Rep-1","AGE.UP","R-unsup",0.550161160354553,0.636502886657507,0.194117647058824
"113",113,"bugzilla","Fold-21","Rep-1","NUC.UP","R-unsup",0.404613215149073,0.57190744304303,0.0117647058823529
"114",114,"bugzilla","Fold-21","Rep-1","EXP.UP","R-unsup",0.493483078162772,0.524662702443753,0.241176470588235
"115",115,"bugzilla","Fold-21","Rep-1","REXP.UP","R-unsup",0.503001611603546,0.515526178853281,0.270588235294118
"116",116,"bugzilla","Fold-21","Rep-1","SEXP.UP","R-unsup",0.536674053182917,0.517973788780064,0.205882352941176
"117",117,"bugzilla","Fold-31","Rep-1","EALR","EALR",0.53977364755426,0.669669859619878,0.285714285714286
"119",119,"bugzilla","Fold-31","Rep-1","NaiveBayes","R-non-EA",0.694606413994169,0.419494101277342,0.125
"120",120,"bugzilla","Fold-31","Rep-1","NaiveBayes","R-ad",0.694606413994169,0.475738208895082,0.232142857142857
"121",121,"bugzilla","Fold-31","Rep-1","NaiveBayes","R-ee",0.694606413994169,0.867532885066349,0.68452380952381
"122",122,"bugzilla","Fold-31","Rep-1","NaiveBayes","R-dd",0.694606413994169,0.52507636801759,0.369047619047619
"123",123,"bugzilla","Fold-31","Rep-1","SimpleLogistic","R-non-EA",0.727749433106576,0.595346422404824,0.208333333333333
"124",124,"bugzilla","Fold-31","Rep-1","SimpleLogistic","R-ad",0.727749433106576,0.652475743439138,0.31547619047619
"125",125,"bugzilla","Fold-31","Rep-1","SimpleLogistic","R-ee",0.727749433106576,0.920579807587016,0.738095238095238
"126",126,"bugzilla","Fold-31","Rep-1","SimpleLogistic","R-dd",0.727749433106576,0.701866939247046,0.535714285714286
"127",127,"bugzilla","Fold-31","Rep-1","LMT","R-non-EA",0.779741658568189,0.597333990557078,0.142857142857143
"128",128,"bugzilla","Fold-31","Rep-1","LMT","R-ad",0.779741658568189,0.630580863762452,0.220238095238095
"129",129,"bugzilla","Fold-31","Rep-1","LMT","R-ee",0.779741658568189,0.931494426680272,0.75
"130",130,"bugzilla","Fold-31","Rep-1","LMT","R-dd",0.779741658568189,0.755476098543672,0.589285714285714
"131",131,"bugzilla","Fold-31","Rep-1","RBFNetwork","R-non-EA",0.527453838678329,0.728343190636376,0.392857142857143
"132",132,"bugzilla","Fold-31","Rep-1","RBFNetwork","R-ad",0.527453838678329,0.896786546935735,0.708333333333333
"133",133,"bugzilla","Fold-31","Rep-1","RBFNetwork","R-ee",0.527453838678329,0.906944144435822,0.726190476190476
"134",134,"bugzilla","Fold-31","Rep-1","RBFNetwork","R-dd",0.527453838678329,0.817038145383897,0.666666666666667
"135",135,"bugzilla","Fold-31","Rep-1","JRip","R-non-EA",0.703798185941043,0.539102552652058,0.196428571428571
"136",136,"bugzilla","Fold-31","Rep-1","JRip","R-ad",0.703798185941043,0.693146089415001,0.392857142857143
"137",137,"bugzilla","Fold-31","Rep-1","JRip","R-ee",0.703798185941043,0.920403335755983,0.744047619047619
"138",138,"bugzilla","Fold-31","Rep-1","JRip","R-dd",0.703798185941043,0.701642900947329,0.535714285714286
"139",139,"bugzilla","Fold-31","Rep-1","Logistic","R-non-EA",0.734390184645287,0.552710864842491,0.18452380952381
"140",140,"bugzilla","Fold-31","Rep-1","Logistic","R-ad",0.734390184645287,0.595729570816139,0.273809523809524
"141",141,"bugzilla","Fold-31","Rep-1","Logistic","R-ee",0.734390184645287,0.921554208219266,0.732142857142857
"142",142,"bugzilla","Fold-31","Rep-1","Logistic","R-dd",0.734390184645287,0.654925182500535,0.470238095238095
"143",143,"bugzilla","Fold-31","Rep-1","RandomForest","R-non-EA",0.763828150307742,0.59588939441751,0.196428571428571
"144",144,"bugzilla","Fold-31","Rep-1","RandomForest","R-ad",0.763828150307742,0.630092592960697,0.25
"145",145,"bugzilla","Fold-31","Rep-1","RandomForest","R-ee",0.763828150307742,0.927158736197033,0.738095238095238
"146",146,"bugzilla","Fold-31","Rep-1","RandomForest","R-dd",0.763828150307742,0.724084082372601,0.553571428571429
"147",147,"bugzilla","Fold-31","Rep-1","SMO","R-non-EA",0.651360544217687,0.564233622065544,0.244047619047619
"148",148,"bugzilla","Fold-31","Rep-1","SMO","R-ad",0.651360544217687,0.698017141148686,0.523809523809524
"149",149,"bugzilla","Fold-31","Rep-1","SMO","R-ee",0.651360544217687,0.698017141148686,0.523809523809524
"150",150,"bugzilla","Fold-31","Rep-1","SMO","R-dd",0.651360544217687,0.698017141148686,0.523809523809524
"151",151,"bugzilla","Fold-31","Rep-1","J48","R-non-EA",0.739694687398769,0.612440172831195,0.19047619047619
"152",152,"bugzilla","Fold-31","Rep-1","J48","R-ad",0.739694687398769,0.662826698556805,0.267857142857143
"153",153,"bugzilla","Fold-31","Rep-1","J48","R-ee",0.739694687398769,0.914384265244817,0.75
"154",154,"bugzilla","Fold-31","Rep-1","J48","R-dd",0.739694687398769,0.702308594441937,0.529761904761905
